"id","nome","curso","periodo","nota_p1","nota_p2","frequencia","horas_estudo","modalidade","cidade","status"
69,"Mateus Antunes","ADS",3,6.6,6.4,85,6,"Online","Anapolis","Ativo"
70,"Vitor Ferreira","ADS",1,8.9,7.8,77,3,"Hibrido","Anapolis","Trancado"
71,"Paula Oliveira","ADS",8,7.7,6.6,87,7,"Presencial","Anapolis","Ativo"
72,"Gustavo Teixeira","ADS",9,7.8,6.1,93,1,"Presencial","Brasilia","Formado"
73,"Eduardo Rodrigues","ADS",10,4.7,7.5,86,5,"Hibrido","Anapolis","Trancado"
74,"Helena Castro","Enfermagem",1,6,6.5,74,7,"Hibrido","Anapolis","Ativo"
75,"Marina Ramos","ADS",4,6.2,7.8,93,9,"Hibrido","Anapolis","Ativo"
76,"Bruno Campos","Medicina",10,10,4,76,6,"Presencial","Aparecida de Goiania","Ativo"
77,"Camila Vieira","Fisioterapia",7,9.4,5.4,97,1,"Hibrido","Goiania","Transferido"
78,"Yasmin Tavares","ADS",1,7.8,10,83,6,"Presencial","Anapolis","Ativo"
79,"Yasmin Pinto","Fisioterapia",8,3.5,6.5,100,7,"Presencial","Anapolis","Jubilado"
80,"Marcelo Araujo","Medicina",5,4.7,3.5,84,7,"Presencial","Goiania","Ativo"
81,"Bruno Moreira","Medicina",3,5,6.4,71,3,"Hibrido","Aparecida de Goiania","Cancelado"
82,"Eduarda Silva","Fisioterapia",2,5.5,10,58,2,"Presencial","Anapolis","Ativo"
83,"Sandra Monteiro","Enfermagem",9,7.7,7.8,94,8,"Presencial","Aparecida de Goiania","Afastado"
84,"Marina Pires","ADS",7,6.9,7,70,9,"Presencial","Aparecida de Goiania","Trancado"
85,"Paula Martins","Fisioterapia",10,3,7.1,81,8,"Hibrido","Anapolis","Ativo"
86,"Ursula Ramos","Enfermagem",6,6.5,8,81,4,"Online","Anapolis","Ativo"
87,"Eduardo Tavares","Fisioterapia",8,7.8,6.3,78,4,"Presencial","Rio Verde","Trancado"
88,"Bruno Andrade","Fisioterapia",7,9.5,7,60,1,"Online","Goiania","Ativo"
89,"Joao Castro","Fisioterapia",8,6.6,4.5,78,2,"Presencial","Goiania","Trancado"
90,"Xavier Farias","Enfermagem",3,7.8,7.1,85,6,"Presencial","Aparecida de Goiania","Afastado"
91,"Bruno Pereira","ADS",9,7,4.6,86,3,"Hibrido","Brasilia","Ativo"
92,"Olivia Oliveira","Enfermagem",8,8.8,6.7,84,2,"Online","Brasilia","Ativo"
93,"Daniel Melo","Medicina",6,6.4,5.5,67,3,"Hibrido","Anapolis","Ativo"
94,"Beatriz Moura","Enfermagem",10,6.8,6.5,88,2,"Online","Goiania","Ativo"
95,"Nadia Antunes","Enfermagem",2,7.7,10,72,5,"Online","Brasilia","Ativo"
96,"Beatriz Campos","ADS",3,6.7,7,100,6,"Presencial","Goiania","Formado"
97,"Marcelo Castro","ADS",8,9,8.8,96,6,"Hibrido","Goiania","Ativo"
98,"Pedro Batista","ADS",8,5,5.3,100,6,"Presencial","Brasilia","Ativo"
99,"Giovana Souza","Fisioterapia",9,8,7.6,82,6,"Online","Brasilia","Formado"
100,"Fernanda Cardoso","Medicina",2,5.4,6.2,52,1,"Online","Goiania","Ativo"
101,"Livia Reis","Enfermagem",8,6.4,6.8,89,1,"Presencial","Anapolis","Ativo"
102,"Camila Machado","ADS",2,6.8,7.6,71,6,"Online","Goiania","Ativo"
103,"Livia Nascimento","ADS",1,4.8,7.4,88,8,"Presencial","Goiania","Ativo"
104,"Wagner Gomes","Medicina",4,5.4,9.9,82,2,"Online","Anapolis","Formado"
105,"Ursula Silva","Medicina",3,6.3,7.2,88,8,"Presencial","Aparecida de Goiania","Ativo"
106,"Vitor Azevedo","ADS",6,8,4.8,94,3,"Presencial","Rio Verde","Ativo"
107,"Carla Dias","Medicina",2,10,7,77,1,"Presencial","Anapolis","Formado"
108,"Julia Tavares","Medicina",10,8,8,83,6,"Online","Aparecida de Goiania","Ativo"
109,"Rafael Ferreira","Medicina",4,9.4,8.2,73,7,"Hibrido","Goiania","Ativo"
110,"Fernanda Azevedo","Enfermagem",5,8,8.2,56,2,"Presencial","Goiania",""
111,"Xavier Moreira","ADS",5,3.8,7.2,86,6,"Presencial","Brasilia","Jubilado"
112,"Sofia Moura","ADS",5,6.9,6.7,88,4,"Hibrido","Aparecida de Goiania","Trancado"
113,"Rafael Araujo","Fisioterapia",6,8.1,6.5,69,5,"Hibrido","Anapolis","Ativo"
114,"Nadia Campos","Fisioterapia",8,4.7,6.8,80,5,"Online","Aparecida de Goiania","Ativo"
115,"Eduardo Oliveira","Fisioterapia",9,8.6,7.7,65,6,"Online","Goiania","Ativo"
116,"Vanessa Rocha","ADS",4,8.1,6.6,63,7,"Hibrido","Goiania","Ativo"
117,"Rafael Rodrigues","Medicina",5,8.3,8,60,1,"Presencial","Brasilia","Ativo"
118,"Ricardo Rocha","ADS",7,6.2,7.8,82,5,"Hibrido","Anapolis","Ativo"
119,"Vitor Mendes","Fisioterapia",6,6.6,5.5,86,1,"Presencial","Anapolis","Transferido"
120,"Eduardo Moura","ADS",7,7.8,5.1,88,4,"Hibrido","Aparecida de Goiania","Transferido"
121,"Ricardo Barbosa","Fisioterapia",2,7.1,7.8,100,5,"Hibrido","Anapolis","Trancado"
122,"Diego Carvalho","Fisioterapia",6,8.9,5.2,65,4,"Hibrido","Anapolis","Ativo"
123,"Diego Martins","Enfermagem",10,3.9,4.9,76,3,"Hibrido","Anapolis","Ativo"
124,"Eduarda Martins","ADS",9,6.8,10,68,5,"Online","Anapolis","Concluinte"
125,"Igor Pereira","ADS",10,4.3,5,93,8,"Presencial","Brasilia","Ativo"
126,"Patricia Almeida","Enfermagem",10,7.5,5.5,91,4,"Hibrido","Goiania","Trancado"
127,"Julio Tavares","ADS",7,4.8,7.2,97,9,"Hibrido","Anapolis","Ativo"
128,"Julio Pires","Medicina",1,5.8,7.8,100,5,"Hibrido","Aparecida de Goiania","Ativo"
129,"Denise Ferreira","Medicina",9,7.8,5.8,99,2,"Online","Brasilia","Ativo"
130,"Eduarda Silva","Fisioterapia",8,4.8,7.3,95,8,"Presencial","Anapolis","Ativo"
131,"Wanda Martins","Enfermagem",10,6.1,6.4,53,3,"Hibrido","Rio Verde","Ativo"
132,"Tiago Barbosa","Enfermagem",5,5.3,3.5,100,6,"Hibrido","Goiania","Ativo"
133,"Tiago Mendes","Fisioterapia",9,7.2,5.4,75,11,"Presencial","Brasilia","Ativo"
134,"Paula Andrade","Medicina",10,7.1,3.7,77,6,"Presencial","Rio Verde","Ativo"
135,"Xavier Lima","Enfermagem",4,5.9,9.9,67,4,"Hibrido","Goiania","Ativo"
136,"Vitor Gomes","Medicina",5,,8.1,74,4,"Presencial","Goiania","Jubilado"
137,"Nicolas Campos","Enfermagem",4,8.2,5.9,77,7,"Presencial","Goiania","Jubilado"
138,"Caio Vieira","Medicina",8,3.5,7.2,97,11,"Hibrido","Brasilia","Formado"
139,"Joao Teixeira","Medicina",2,8.4,6.4,100,10,"Online","Goiania","Jubilado"
140,"Olivia Cardoso","Medicina",7,7.3,4.5,55,5,"Presencial","Aparecida de Goiania","Ativo"
141,"Vanessa Barbosa","Medicina",4,6.6,8.9,92,6,"Online","Anapolis","Ativo"
142,"Julia Costa","Fisioterapia",3,7.6,7.8,66,4,"Online","Aparecida de Goiania","Ativo"
143,"Elena Alves","Fisioterapia",7,4.1,8.4,83,8,"Presencial","Rio Verde","Trancado"
144,"Henrique Cunha","ADS",5,6.2,10,86,1,"Presencial","Anapolis","Concluinte"
145,"Livia Tavares","Enfermagem",8,4.4,3.5,82,4,"Hibrido","Goiania","Ativo"
146,"Ingrid Monteiro","Enfermagem",4,3.6,6.8,87,6,"Presencial","Anapolis","Ativo"
147,"Ingrid Alves","ADS",4,15,6.9,86,9,"Online","Goiania","Cancelado"
148,"Elena Azevedo","Fisioterapia",9,5.2,7.2,84,9,"Hibrido","Rio Verde","Ativo"
149,"Wanda Azevedo","ADS",7,9.9,4.4,92,10,"Online","Aparecida de Goiania","Trancado"
150,"Ingrid Freitas","ADS",1,5.1,,86,5,"Presencial","Goiania","Ativo"
151,"Giovana Rodrigues","Fisioterapia",6,6.4,7.2,61,8,"Presencial","Goiania","Ativo"
152,"Fernanda Mendes","Medicina",4,7.2,4.6,71,7,"Presencial","Anapolis","Ativo"
153,"Joao Moura","Medicina",6,5.5,7.9,86,7,"Online","Anapolis","Ativo"
154,"Ricardo Fernandes","Medicina",10,5,6,68,10,"Hibrido","Brasilia","Ativo"
155,"Vanessa Nascimento","ADS",9,6.8,5.2,90,6,"Presencial","Anapolis","Ativo"
156,"Kevin Azevedo","ADS",5,6.4,6.9,88,2,"Online","Aparecida de Goiania","Ativo"
157,"Paula Carvalho","Fisioterapia",9,8.7,6.4,84,3,"Online","Anapolis","Concluinte"
158,"Wanda Costa","Fisioterapia",9,8.5,5,97,5,"Hibrido","Aparecida de Goiania","Trancado"
159,"Bruno Tavares","Enfermagem",8,8.2,6.6,73,3,"Presencial","Anapolis","Ativo"
160,"Ricardo Lima","Medicina",1,7.3,6.4,92,5,"Hibrido","Goiania","Ativo"
161,"Vanessa Vieira","Medicina",1,7.9,9.2,85,7,"Online","Anapolis","Ativo"
162,"Mateus Dias","Enfermagem",3,7,7.7,99,4,"Presencial","Brasilia","Ativo"
163,"Diego Cardoso","Fisioterapia",8,6.3,8,100,6,"Online","Goiania","Transferido"
164,"Mateus Gomes","Medicina",10,5.6,6.9,82,4,"Presencial","Rio Verde","Ativo"
165,"Alice Lima","Medicina",4,8.1,4.8,71,4,"Online","Anapolis","Ativo"
166,"Caio Antunes","Enfermagem",3,3.7,9.1,67,2,"Presencial","Goiania","Ativo"
167,"Livia Souza","Fisioterapia",4,5.6,7.1,61,9,"Hibrido","Brasilia","Jubilado"
168,"Felipe Ribeiro","Medicina",2,10,7.3,90,6,"Online","Anapolis","Formado"
169,"Breno Farias","ADS",4,10,7.5,89,4,"Presencial","Brasilia","Ativo"
170,"Rafael Pires","Medicina",8,6.7,6.2,84,11,"Online","Anapolis","Ativo"
171,"Mateus Santos","Enfermagem",5,6,6.4,70,8,"Hibrido","Goiania","Afastado"
172,"Ingrid Monteiro","Enfermagem",3,8.4,7.5,65,10,"Online","Anapolis","Ativo"
173,"Felipe Azevedo","ADS",10,7,7.2,50,4,"Hibrido","Anapolis","Ativo"
174,"Otavia Moreira","ADS",8,8,6.5,74,7,"Hibrido","Goiania","Transferido"
175,"Wagner Tavares","Medicina",6,6.2,3.2,65,3,"Online","Goiania","Cancelado"
176,"Pedro Pires","Fisioterapia",1,10,6.6,102,7,"Presencial","Anapolis","Ativo"
177,"Otavio Farias","Fisioterapia",1,4.5,6.4,79,8,"Hibrido","Anapolis","Ativo"
178,"Felipe Ribeiro","Medicina",5,9.3,6.2,73,5,"Hibrido","Aparecida de Goiania","Ativo"
179,"Ingrid Cruz","Fisioterapia",7,10,7,100,7,"Presencial","Brasilia","Ativo"
180,"Bruno Rodrigues","Medicina",9,4.7,7.8,86,4,"Presencial","Rio Verde","Ativo"
181,"Denise Cruz","Medicina",4,10,9,62,2,"Online","Anapolis","Ativo"
182,"Helena Alves","Fisioterapia",5,8.1,7.4,85,6,"Hibrido","Anapolis","Transferido"
183,"Ingrid Andrade","Medicina",6,1.9,8.1,100,7,"Online","Goiania","Jubilado"
184,"Isabela Teixeira","ADS",2,7.8,6.9,87,9,"Presencial","Goiania","Formado"
185,"Daniel Moreira","ADS",10,7.6,6.8,56,4,"Presencial","Brasilia","Ativo"
186,"Isabela Batista","ADS",9,5.7,7.3,100,10,"Online","Goiania","Trancado"
187,"Sofia Batista","Enfermagem",4,9.3,5.5,87,1,"Presencial","Goiania","Ativo"
188,"Olivia Campos","Medicina",8,8.3,5.8,53,8,"Presencial","Anapolis","Formado"
189,"Karina Oliveira","Enfermagem",7,9.1,8.1,69,4,"Presencial","Brasilia","Ativo"
190,"Karina Azevedo","Enfermagem",6,4.7,6.3,72,2,"Presencial","Anapolis","Ativo"
191,"Carla Lopes","ADS",3,3.6,4.1,76,6,"Presencial","Goiania","Transferido"
192,"Wagner Pinto","Fisioterapia",9,9.2,5.3,75,11,"Presencial","Goiania","Ativo"
193,"Fernanda Campos","ADS",4,7.9,6.5,74,4,"Online","Brasilia","Transferido"
194,"Otavio Tavares","Fisioterapia",7,8,6.9,98,8,"Presencial","Aparecida de Goiania","Formado"
195,"Carla Nunes","Medicina",10,5.6,5.5,67,4,"Presencial","Goiania","Ativo"
196,"Ana Dias","Fisioterapia",4,6,6.7,77,4,"Presencial","Anapolis","Ativo"
197,"Wagner Costa","ADS",2,7.1,6.6,72,1,"Hibrido","Anapolis","Ativo"
198,"Otavia Rodrigues","Medicina",10,6.2,5.2,65,5,"Hibrido","Goiania","Ativo"
199,"Tiago Rodrigues","Fisioterapia",1,8.1,5.7,92,3,"Online","Anapolis","Afastado"
200,"Marina Lopes","Enfermagem",9,6,6.1,99,9,"Hibrido","Anapolis","Ativo"
201,"Joao Nascimento","ADS",10,10,8.3,89,8,"Presencial","Anapolis","Trancado"
202,"Julio Melo","Medicina",6,6.6,7.5,100,2,"Online","Anapolis","Ativo"
203,"Gustavo Nascimento","Medicina",4,6.7,7,97,2,"Presencial","Anapolis","Ativo"
204,"Renato Cunha","Medicina",6,7.2,10,73,3,"Presencial","Goiania","Ativo"
205,"Camila Barbosa","Fisioterapia",9,4,2.2,93,3,"Presencial","Brasilia","Ativo"
206,"Breno Vieira","ADS",5,6.4,5.7,81,5,"Presencial","Anapolis","Ativo"
207,"Thiago Rocha","Medicina",2,6.7,10,100,3,"Presencial","Anapolis","Formado"
208,"Patricia Alves","Enfermagem",4,7.8,6.8,82,2,"Presencial","Anapolis","Ativo"
209,"Carla Freitas","Fisioterapia",4,6.1,7.9,83,2,"Presencial","Goiania","Jubilado"
210,"Denise Rodrigues","ADS",4,6.1,3.7,83,3,"Hibrido","Aparecida de Goiania","Jubilado"
211,"Giovana Cruz","ADS",5,8.6,7.4,65,8,"Hibrido","Anapolis","Transferido"
212,"Marcelo Fernandes","Enfermagem",7,6.9,4.9,100,7,"Presencial","Aparecida de Goiania","Ativo"
213,"Thiago Castro","Fisioterapia",7,8.1,5.4,76,9,"Hibrido","Goiania","Ativo"
214,"Patricia Lopes","Enfermagem",10,7.8,6.7,87,5,"Presencial","Brasilia","Ativo"
215,"Helena Pinto","Fisioterapia",4,6.9,5.2,93,2,"Presencial","Anapolis","Formado"
216,"Joao Pires","Medicina",3,10,5,91,10,"Online","Anapolis","Ativo"
217,"Camila Cunha","ADS",8,5.4,8,99,3,"Online","Anapolis","Trancado"
218,"Pedro Machado","Enfermagem",3,7.5,8.2,71,6,"Presencial","Aparecida de Goiania","Jubilado"
219,"Carla Cruz","Medicina",3,5.8,6.7,85,4,"Hibrido","Brasilia","Ativo"
220,"Ursula Rodrigues","ADS",1,5.9,2.7,95,2,"Presencial","Aparecida de Goiania","Jubilado"
221,"Felipe Oliveira","Fisioterapia",5,4.9,5.8,94,6,"Presencial","Anapolis","Cancelado"
222,"Patricia Nascimento","Enfermagem",8,10,5.1,66,4,"Hibrido","Anapolis","Jubilado"
223,"Otavia Machado","Enfermagem",2,4.5,4.6,99,9,"Presencial","Anapolis","Transferido"
224,"Igor Castro","Fisioterapia",7,8.6,3.6,76,3,"Hibrido","Goiania","Ativo"
225,"Julio Moreira","Enfermagem",5,4.1,6.4,66,9,"Hibrido","Anapolis","Concluinte"
226,"Marcelo Monteiro","ADS",8,7.4,5.1,91,6,"Online","Goiania","Afastado"
227,"Diego Cunha","Fisioterapia",7,6.4,5.7,76,3,"Online","Aparecida de Goiania","Ativo"
228,"Larissa Ramos","Enfermagem",9,6.4,4.7,73,12,"Presencial","Anapolis","Ativo"
229,"Eduarda Campos","Fisioterapia",10,7.9,6.1,100,7,"Hibrido","Aparecida de Goiania","Ativo"
230,"Renato Cruz","ADS",8,4.9,10,93,6,"Presencial","Goiania","Trancado"
231,"Igor Vieira","Enfermagem",7,5,8.5,77,4,"Online","Brasilia","Ativo"
232,"Carla Dias","Fisioterapia",8,7.4,5.8,78,5,"Presencial","Anapolis","Ativo"
233,"Camila Martins","Enfermagem",6,6.7,4.8,66,13,"Online","Anapolis","Ativo"
234,"Giovana Dias","Fisioterapia",8,8.6,6.7,67,8,"Online","Goiania","Trancado"
235,"Kevin Cardoso","Enfermagem",1,2,8.1,54,1,"Online","Aparecida de Goiania","Concluinte"
236,"Kevin Melo","Fisioterapia",10,3.4,5.2,76,7,"Presencial","Anapolis","Ativo"
237,"Mateus Campos","ADS",4,8.6,5,89,5,"Presencial","Goiania","Cancelado"
238,"Yasmin Costa","Enfermagem",2,15,4.9,67,5,"Online","Goiania","Formado"
239,"Isabela Antunes","Medicina",1,7.2,10,76,1,"Online","Goiania","Ativo"
240,"Camila Rocha","ADS",1,6.4,4.6,83,6,"Presencial","Aparecida de Goiania","Ativo"
241,"Helena Antunes","Medicina",7,6.4,7.9,100,5,"Presencial","Goiania","Ativo"
242,"Elena Araujo","Medicina",1,5.9,9.6,85,4,"Presencial","Brasilia","Ativo"
243,"Patricia Nunes","Fisioterapia",10,5.5,9.3,91,7,"Presencial","Goiania","Ativo"
244,"Xavier Vieira","Enfermagem",10,6,7,78,6,"Online","Brasilia","Cancelado"
245,"Camila Pires","Fisioterapia",7,7.3,8.1,97,1,"Presencial","Goiania","Ativo"
246,"Caio Reis","Medicina",6,6.2,9.7,86,4,"Online","Brasilia","Ativo"
247,"Wanda Castro","Fisioterapia",9,5.7,6.2,96,3,"Presencial","Anapolis","Ativo"
248,"Julia Andrade","Enfermagem",6,9.3,8.1,80,4,"Presencial","Goiania","Ativo"
249,"Vitor Pereira","ADS",4,7.4,7.6,84,4,"Presencial","Goiania","Ativo"
250,"Hugo Rodrigues","Enfermagem",5,6.5,7.6,100,3,"Presencial","Anapolis","Ativo"
251,"Ricardo Cunha","ADS",5,7.9,6.8,80,2,"Online","Aparecida de Goiania","Formado"
252,"Giovana Cruz","Enfermagem",10,8.1,9.2,68,4,"Presencial","Brasilia","Trancado"
253,"Denise Azevedo","Fisioterapia",3,6,4,75,1,"Presencial","Aparecida de Goiania","Ativo"
254,"Pedro Rocha","ADS",7,5.8,6.7,75,5,"Online","Goiania","Trancado"
255,"Breno Dias","Enfermagem",7,8.1,5.4,82,3,"Online","Goiania","Cancelado"
256,"Julia Moura","Fisioterapia",4,5.8,3.6,75,5,"Presencial","Goiania","Ativo"
257,"Renato Pereira","Medicina",6,6.6,8.4,68,6,"Presencial","Rio Verde","Ativo"
258,"Elena Nunes","Fisioterapia",6,7.7,5.8,71,6,"Hibrido","Goiania","Trancado"
259,"Eduardo Carvalho","ADS",2,8.1,6.7,82,3,"Online","Aparecida de Goiania","Ativo"
260,"Karina Souza","Medicina",7,5.1,8.3,83,2,"Presencial","Brasilia","Ativo"
261,"Olivia Martins","Fisioterapia",10,5.4,5.9,81,8,"Hibrido","Anapolis","Trancado"
262,"Helena Ribeiro","ADS",8,6.9,8.3,91,5,"Online","Goiania","Trancado"
263,"Yasmin Monteiro","Medicina",2,8.1,3.2,83,4,"Online","Goiania","Formado"
264,"Fernanda Pereira","ADS",4,6.3,8,62,3,"Hibrido","Goiania","Afastado"
265,"Yasmin Moreira","Enfermagem",6,3.9,7.4,91,4,"Online","Goiania","Jubilado"
266,"Gustavo Moura","Fisioterapia",4,7.7,9.4,62,12,"Online","Brasilia","Formado"
267,"Diego Campos","Enfermagem",3,4.7,8.4,81,5,"Hibrido","Brasilia","Trancado"
268,"Gustavo Araujo","ADS",9,8.4,6.1,83,6,"Presencial","Rio Verde","Formado"
269,"Marcelo Cruz","ADS",4,3.7,8.4,83,4,"Hibrido","Goiania","Ativo"
270,"Carla Cunha","Enfermagem",4,7.5,5.4,74,5,"Presencial","Goiania","Ativo"
271,"Sofia Antunes","Enfermagem",4,8.4,7.7,92,6,"Presencial","Brasilia","Transferido"
272,"Fernanda Moreira","Medicina",7,5.5,7.7,67,6,"Online","Aparecida de Goiania","Transferido"
273,"Ana Costa","Medicina",6,7.1,6.4,98,10,"Online","Aparecida de Goiania","Formado"
274,"Wanda Andrade","ADS",9,4.5,5,83,3,"Hibrido","Anapolis","Ativo"
275,"Ana Lima","Enfermagem",5,7.7,8.3,52,7,"Online","Rio Verde","Ativo"
276,"Caio Barbosa","Fisioterapia",2,6.5,10,82,6,"Hibrido","Rio Verde","Ativo"
277,"Julia Pinto","Medicina",1,6.6,7.5,69,8,"Presencial","Goiania","Formado"
278,"Ricardo Cruz","Enfermagem",4,6.7,4.8,87,7,"Online","Anapolis","Ativo"
279,"Fabio Pinto","Enfermagem",2,6.9,5.4,76,5,"Hibrido","Anapolis","Ativo"
280,"Bruno Rocha","Medicina",1,6.1,7.3,77,8,"Presencial","Goiania","Ativo"
281,"Livia Gomes","Medicina",4,6.5,4,88,9,"Hibrido","Goiania","Ativo"
